UPJONG_CD,YM,TIME,CARD_TOTAL,CARD_TRY
ss003,201607,4,30,70
ss003,201809,5,5,402
ss003,201707,3,15,5
ss003,201909,4,45,0
ss003,201705,2,10,15
ss003,201801,4,25,0
ss003,202006,3,5,65
ss003,201612,6,15,25
ss003,201706,5,25,0
ss003,201909,3,15,0
ss003,202103,3,5,5
ss003,202011,5,20,35
ss003,201707,4,45,15
ss003,201803,5,10,40
ss003,202007,5,15,0
ss003,202012,5,10,0
ss003,201802,1,5,91
ss003,201806,5,397,5
ss003,201908,3,10,0
ss003,201612,5,10,5
ss003,201808,5,5,10
ss003,201603,4,5,15
ss003,201703,3,121,5
ss003,201710,3,166,156
ss003,201904,2,15,5
ss003,201911,4,5,0
ss003,201801,6,35,5
ss003,201908,2,10,5
ss003,202007,4,5,0
ss003,202101,4,15,45
ss003,201901,5,25,0
ss003,201905,2,30,0
ss003,202003,5,5,15
ss003,202105,4,70,5
ss003,202011,2,206,55
ss003,201607,2,15,5
ss003,201708,3,25,20
ss003,201903,4,60,70
ss003,201911,4,5,10
ss003,201902,1,35,5
ss003,201910,4,5,15
ss003,201606,1,20,35
ss003,202101,5,10,15
ss003,201810,4,5,10
ss003,201810,6,96,5
ss004,201803,2,30,5
ss004,202105,4,25,0
ss004,201702,3,126,5
ss004,202101,5,15,10
ss004,201706,3,538,15
ss004,201602,4,10,5
ss004,202009,5,10,45
ss004,202008,3,5,10
ss004,202103,1,5,20
ss004,201910,5,5,0
ss004,201810,6,60,5
ss004,201710,4,5,35
ss004,201905,4,25,10
ss004,201804,4,91,25
ss004,201911,2,86,5
ss004,201603,2,5,181
ss004,202004,4,15,10
ss004,202101,4,25,5
ss004,201910,3,35,0
ss004,201801,2,5,0
ss004,201912,2,5,20
ss004,201805,6,35,0
ss004,202007,6,91,0
ss004,201711,4,25,10
ss004,202102,5,10,40
ss004,201901,6,5,5
ss004,202103,1,10,25
ss004,201803,4,15,5
ss004,201908,1,10,10
ss004,201602,3,186,10
ss004,201709,4,5,20
ss004,201808,2,10,15
ss004,201904,4,322,55
ss004,201812,3,25,0
ss004,201712,2,5,25
ss004,202010,2,25,40
ss004,202005,3,91,15
ss004,201805,3,40,45
ss004,202103,4,25,0
ss004,202002,6,5,141
ss004,201806,6,15,0
ss004,202105,3,10,10
ss004,202105,2,30,25
ss004,201605,4,55,10
ss004,201910,5,5,5
ss004,201601,1,5,5
ss004,201611,1,5,5
ss004,201805,6,111,0
ss004,202101,3,40,0
ss004,202102,5,5,15
ss004,201908,2,55,10
ss004,201808,2,5,35
ss004,201810,1,30,35
ss004,201711,4,5,0
ss004,201601,5,25,5
ss004,201807,3,30,30
ss005,202104,4,5,0
ss005,201805,5,5,35
ss005,201708,6,5,5
ss005,201912,6,40,5
ss005,201609,3,25,5
ss005,202107,3,15,15
ss005,201807,1,20,0
ss005,201911,3,50,362
ss005,201903,5,5,70
ss005,201612,3,231,176
ss005,201710,2,35,10
ss005,201604,6,10,25
ss005,202005,6,5,35
ss005,201601,4,5,5
ss005,201605,3,10,15
ss005,201809,3,30,10
ss005,201603,4,5,0
ss005,201604,4,302,5
ss005,201610,2,30,483
ss006,202101,6,10,25
ss006,202011,2,75,5
ss006,201606,2,25,91
ss006,201604,6,15,25
ss006,201807,5,15,0
ss006,201711,5,15,50
ss006,202009,3,186,5
ss006,201907,4,5,25
ss006,201802,1,10,20
ss006,201806,3,181,0
ss006,201906,2,10,0
ss006,202009,4,5,0
ss006,201708,5,402,5
ss006,202104,5,55,5
ss006,201708,5,5,25
ss006,202103,3,10,0
ss006,201805,6,70,15
ss006,201802,4,10,0
ss006,201906,1,5,15
ss006,202101,5,15,5
ss006,201901,2,5,0
ss006,201702,4,10,5
ss006,202009,4,5,0
ss006,201702,4,5,10
ss006,201708,4,5,10
ss006,201610,1,10,0
ss006,201808,5,65,0
ss006,201807,2,15,5
ss006,201905,5,5,5
ss006,201602,2,246,5
ss006,201809,5,5,5
ss006,201911,4,30,60
ss006,201711,5,5,0
ss006,201809,4,252,5
ss006,202107,3,10,5
ss006,201601,6,30,5
ss006,201705,3,5,0
ss006,201804,3,5,30
ss006,201601,3,5,25
ss006,201612,5,75,5
ss006,201904,4,5,0
ss006,201906,3,40,10
ss006,201603,1,5,25
ss006,201604,5,25,60
ss006,202007,4,5,5
ss006,201812,2,20,20
ss006,201902,4,30,20
ss006,201910,3,20,25
ss006,201808,6,5,15
ss006,201608,2,5,35
ss004,201704,2,5,5
ss004,201911,6,40,30
ss004,201905,5,10,5
ss004,201705,6,116,0
ss004,201909,4,5,70
ss004,202002,4,10,55
ss004,201805,5,20,5
ss004,202012,4,10,5
ss004,201709,6,211,10
ss004,201606,4,20,20
ss004,202006,3,362,5
ss007,201806,3,45,20
ss007,201711,4,151,30
ss007,201801,5,15,5
ss007,202011,5,267,0
ss007,201807,4,50,10
ss007,201606,6,106,5
ss007,202006,2,15,0
ss007,201603,4,5,5
ss007,201904,4,5,0
ss007,201610,2,5,45
ss007,202107,3,10,0
ss007,202104,5,40,20
ss007,201701,4,5,307
ss007,201611,4,20,15
ss007,201604,4,5,15
ss007,201610,1,5,126
ss007,201910,3,5,0
ss007,201709,5,282,0
ss007,201803,4,101,5
ss007,201910,1,60,5
ss007,202009,1,5,35
ss007,201912,2,5,10
ss007,201605,1,35,20
ss007,201709,5,5,0
ss007,202105,4,15,20
ss007,201608,3,5,0
ss007,201902,5,5,0
ss007,201703,4,20,10
ss007,202002,5,30,0
ss007,201606,5,30,5
ss007,201605,5,372,25
ss007,201908,4,80,0
ss008,202107,1,55,0
ss008,201709,5,55,0
ss008,201607,2,5,5
ss008,201811,2,5,25
ss008,201702,4,60,0
ss008,201708,3,5,0
ss008,202010,2,5,5
ss008,201803,2,45,0
