서울시민업종코드(UPJONG_CD),기준년월(YM),시간대구간(TIME),고객주소블록코드(BLOCK_CD),카드이용금액계(AMT_CORR),소액결제건수(MICRO_PYM)
ss004,201901,6,421462,10,5
ss004,201911,3,19692,5,45
ss004,201702,4,214757,5,35
ss004,201707,2,280252,5,50
ss004,202008,5,90214,25,5
ss004,201707,5,411571,5,15
ss004,201803,5,349038,45,5
ss004,201707,3,152208,35,5
ss004,202003,2,21414,201,20
ss004,202001,5,17619,5,5
ss004,202002,5,15417,10,106
ss004,201905,3,207018,5,0
ss004,201811,6,219830,35,10
ss004,202101,4,245855,186,0
ss004,201707,5,13482,191,211
ss003,202001,2,413018,15,0
ss003,202101,5,342225,15,15
ss003,201911,4,230407,196,5
ss003,201608,5,229707,15,5
ss003,201701,6,208842,5,0
ss003,201611,6,273072,10,0
ss003,202002,6,218537,20,5
ss003,201807,2,228332,5,15
ss003,202106,4,224185,40,141
ss003,201808,3,33140,15,5
ss003,201812,4,168828,65,20
ss003,202101,3,231287,10,60
ss003,201910,4,11934,25,0
ss003,202107,4,219613,101,96
ss003,201711,3,360667,5,10
ss003,202012,5,416873,30,0
ss003,201902,4,23133,5,10
ss003,201903,5,9467,20,0
ss003,202101,3,230850,10,5
ss003,202008,3,200866,30,0
ss003,202010,5,24183,5,55
ss003,201711,4,226053,5,5
ss003,202005,5,216213,5,5
ss003,201901,5,416485,5,0
ss003,201903,3,23316,5,5
ss003,202012,1,24363,15,60
ss003,202010,3,232188,10,5
ss003,201901,5,218023,5,50
ss003,201905,4,283164,5,0
ss003,201609,4,217914,86,0
ss003,201902,5,411324,5,20
ss003,202006,1,365309,10,20
ss003,201805,4,17716,5,30
ss003,201807,6,355443,302,20
ss003,201607,4,218551,30,70
ss003,201809,5,27657,5,402
ss003,201707,3,417217,15,5
ss003,201909,4,413504,45,0
ss003,201705,2,33863,10,15
ss003,201801,4,153034,25,0
ss003,202006,3,20327,5,65
ss003,201612,6,153082,15,25
ss003,201706,5,24568,25,0
ss003,201909,3,24295,15,0
ss003,202103,3,366426,5,5
ss003,202011,5,201319,20,35
ss003,201707,4,213071,45,15
ss003,201803,5,227876,10,40
ss003,202007,5,228142,15,0
ss003,202012,5,14174,10,0
ss003,201802,1,14602,5,91
ss003,201806,5,408888,397,5
ss003,201908,3,208885,10,0
ss003,201612,5,28382,10,5
ss003,201808,5,360887,5,10
ss003,201603,4,416716,5,15
ss003,201703,3,24320,121,5
ss003,201710,3,221423,166,156
ss003,201904,2,32172,15,5
ss003,201911,4,34559,5,0
ss003,201801,6,156624,35,5
ss003,201908,2,27268,10,5
ss003,202007,4,13041,5,0
ss003,202101,4,17501,15,45
ss003,201901,5,11135,25,0
ss003,201905,2,227653,30,0
ss003,202003,5,217177,5,15
ss003,202105,4,9760,70,5
ss003,202011,2,61789,206,55
ss003,201607,2,21872,15,5
ss003,201708,3,23865,25,20
ss003,201903,4,21888,60,70
ss003,201911,4,20229,5,10
ss003,201902,1,230056,35,5
ss003,201910,4,419456,5,15
ss003,201606,1,362903,20,35
ss003,202101,5,351396,10,15
ss003,201810,4,14037,5,10
ss003,201810,6,225348,96,5
ss004,201803,2,332107,30,5
ss004,202105,4,418486,25,0
ss004,201702,3,229943,126,5
ss004,202101,5,158398,15,10
ss004,201706,3,162180,538,15
ss004,201602,4,226435,10,5
ss004,202009,5,20378,10,45
ss004,202008,3,413323,5,10
ss004,202103,1,228051,5,20
ss004,201910,5,412474,5,0
ss004,201810,6,210343,60,5
ss004,201710,4,199267,5,35
