업종대분류(UPJONG_CLASS1),기준일자(YMD),시간대구간(TIME),고객주소집계구별(TOT_REG_CD),카드이용금액계(AMT_CORR),카드이용건수계(USECT_CORR)
요식/유흥,20171002,4,1.12E+12,1070887,5
의료,20190608,2,1.12E+12,497970,5
자동차/주유,20200711,4,1.12E+12,654051,45
전자상거래,20181221,3,1.12E+12,410951,25
가정생활/서비스,20181113,4,1.12E+12,378960,15
요식/유흥,20170307,5,1.12E+12,201200,5
교육/학원,20170824,1,1.11E+12,157439,30
요식/유흥,20200914,2,1.12E+12,325597,10
유통,20171102,5,1.11E+12,50300,25
전자상거래,20190131,6,1.12E+12,328560,20
가정생활/서비스,20191121,6,1.13E+12,599274,5
유통,20210227,2,1.12E+12,16599,10
전자상거래,20190714,4,1.10E+12,423023,5
요식/유흥,20200121,4,1.12E+12,503000,50
가정생활/서비스,20181112,4,1.13E+12,84504,5
가정생활/서비스,20210223,6,1.13E+12,142047,20
스포츠/문화/레저,20160528,3,1.11E+12,153415,15
유통,20160120,5,1.11E+12,497970,30
요식/유흥,20210404,3,1.11E+12,869788,15
전자상거래,20200423,5,1.12E+12,90857,40
자동차/주유,20190617,5,1.12E+12,842354,35
교육/학원,20200102,5,1.11E+12,611648,25
요식/유흥,20180203,2,1.11E+12,477347,5
요식/유흥,20170114,4,1.12E+12,213574,5
자동차/주유,20210317,2,1.12E+12,720548,35
전자상거래,20180704,3,1.12E+12,1886250,10
스포츠/문화/레저,20160421,6,1.11E+12,1345575,15
자동차/주유,20170915,4,1.13E+12,854547,5
요식/유흥,20160917,3,1.11E+12,23641,5
유통,20190120,2,1.12E+12,24647,5
스포츠/문화/레저,20170911,5,1.11E+12,1381982,5
의료,20161004,2,1.11E+12,48288,25
유통,20170303,5,1.11E+12,154924,10
요식/유흥,20160524,5,1.11E+12,145619,5
의료,20180221,1,1.11E+12,459541,20
전자상거래,20210219,5,1.11E+12,83498,20
요식/유흥,20210131,3,1.10E+12,846881,60
의료,20171212,5,1.12E+12,1076018,5
의료,20200412,5,1.12E+12,20120,15
요식/유흥,20180825,1,1.12E+12,460245,25
요식/유흥,20170619,1,1.12E+12,711745,5
자동차/주유,20210304,3,1.12E+12,295261,5
의료,20190426,5,1.12E+12,210958,5
스포츠/문화/레저,20190210,4,1.11E+12,65390,15
유통,20180217,5,1.10E+12,81486,5
자동차/주유,20180421,5,1.12E+12,11531979,91
요식/유흥,20201101,6,1.12E+12,30180,5
스포츠/문화/레저,20190109,3,1.11E+12,317896,15
자동차/주유,20201119,3,1.12E+12,391837,5
요식/유흥,20190105,2,1.12E+12,197679,20
자동차/주유,20180826,4,1.12E+12,60360,5
유통,20160717,2,1.11E+12,301800,15
요식/유흥,20171126,4,1.12E+12,273079,15
자동차/주유,20170218,5,1.11E+12,1857328,45
자동차/주유,20160117,4,1.12E+12,280674,5
스포츠/문화/레저,20190312,2,1.10E+12,75601,10
전자상거래,20190721,3,1.11E+12,143506,5
자동차/주유,20190417,3,1.12E+12,241762,5
유통,20161018,4,1.12E+12,311860,5
유통,20160102,5,1.12E+12,347070,10
유통,20190112,2,1.12E+12,45270,45
요식/유흥,20170727,3,1.11E+12,145870,25
전자상거래,20210319,3,1.12E+12,160709,5
유통,20190227,5,1.11E+12,10060,5
스포츠/문화/레저,20180119,2,1.13E+12,1498135,5
요식/유흥,20190417,4,1.12E+12,25150,35
가정생활/서비스,20190205,4,1.11E+12,81486,40
요식/유흥,20200123,5,1.12E+12,29929,5
전자상거래,20180430,3,1.12E+12,337262,5
전자상거래,20160425,4,1.11E+12,72935,10
전자상거래,20200430,4,1.12E+12,56336,10
